Time,X,Y,Pitch,Roll,Yaw,Velx,Vely,Velmag,Veltheta,AngVel
2.370,4.184,1.185,-19.533,-2.327,6.061,1.765,0.500,1.835,344.188,2.557,
2.455,4.184,1.194,-21.478,-18.912,4.272,0.003,0.104,0.104,271.665,-21.204,
2.534,4.187,1.199,-21.073,-13.437,2.037,0.041,0.071,0.082,299.666,-28.218,
2.612,4.187,1.203,-22.885,-2.081,0.435,-0.008,0.049,0.050,9.621,-20.495,
2.689,4.183,1.202,-23.469,-5.036,-0.275,-0.049,-0.016,0.052,162.180,-9.181,
2.838,4.179,1.200,-24.437,-9.586,-2.104,-0.023,-0.011,0.026,155.065,-12.285,
2.911,4.179,1.199,-21.301,-10.665,-1.973,0.001,-0.015,0.016,182.605,1.793,
2.986,4.185,1.198,-12.419,-10.899,-0.171,0.069,-0.010,0.070,261.971,24.043,
3.062,4.190,1.200,-3.122,-8.855,1.146,0.078,0.023,0.081,343.387,17.513,
3.140,4.194,1.201,3.024,-7.643,1.151,0.047,0.017,0.050,340.311,0.063,
3.215,4.198,1.202,6.699,-4.842,0.909,0.049,0.012,0.051,346.104,-3.206,
3.285,4.201,1.203,8.075,-4.644,0.491,0.053,0.015,0.055,344.546,-5.973,
3.357,4.202,1.204,7.297,-5.275,-0.150,0.008,0.009,0.012,309.116,-8.857,
3.427,4.202,1.204,4.599,-6.345,-0.528,-0.001,0.001,0.002,27.258,-5.400,
3.731,4.204,1.208,-13.970,-14.080,-5.758,0.006,0.013,0.014,293.387,-17.209,
3.879,4.206,1.211,-5.457,-9.072,-4.781,0.015,0.018,0.023,309.922,6.610,
3.950,4.205,1.211,-4.400,-9.880,-4.435,-0.013,0.009,0.016,56.563,4.917,
4.022,4.204,1.212,-5.327,-7.763,-4.803,-0.010,0.012,0.015,38.783,-5.064,
4.099,4.204,1.212,-7.616,-9.159,-5.111,-0.008,-0.008,0.011,136.713,-4.022,
4.173,4.203,1.211,-7.512,-9.101,-5.195,-0.004,-0.005,0.006,127.408,-1.133,
4.258,4.203,1.212,-7.528,-8.903,-5.188,0.000,0.002,0.002,273.881,0.089,
4.335,4.204,1.211,-7.530,-9.872,-5.155,0.004,-0.005,0.007,216.690,0.428,
4.411,4.204,1.211,-7.628,-9.224,-5.124,0.006,-0.002,0.006,247.096,0.413,
4.485,4.205,1.211,-7.480,-9.280,-5.261,0.008,-0.005,0.010,239.221,-1.851,
4.616,4.204,1.211,-8.531,-9.032,-5.529,-0.006,0.006,0.009,46.005,-2.052,
4.698,4.204,1.211,-8.398,-9.104,-5.799,-0.003,-0.001,0.003,154.649,-3.300,
4.776,4.204,1.211,-7.428,-9.509,-5.752,0.003,-0.005,0.006,210.697,0.606,
4.862,4.205,1.211,-7.183,-9.733,-5.772,0.011,0.003,0.011,345.503,-0.232,
4.937,4.205,1.211,-8.253,-9.644,-5.897,0.005,-0.002,0.006,247.177,-1.664,
