Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,2.370,0,0.476,-0.063,0.039,0.470,-0.341,-0.041,0.106,
1,2.455,0,0.463,-0.065,0.028,0.457,-0.375,-0.330,0.075,
2,2.534,0,0.461,-0.070,0.020,0.455,-0.368,-0.235,0.036,
3,2.612,0,0.463,-0.070,0.014,0.457,-0.399,-0.036,0.008,
4,2.689,0,0.462,-0.066,0.015,0.457,-0.410,-0.088,-0.005,
5,2.838,0,0.456,-0.063,0.014,0.452,-0.427,-0.167,-0.037,
6,2.911,0,0.457,-0.063,0.016,0.452,-0.372,-0.186,-0.034,
7,2.986,0,0.459,-0.068,0.018,0.454,-0.217,-0.190,-0.003,
8,3.061,0,0.455,-0.073,0.018,0.449,-0.054,-0.155,0.020,
9,3.140,0,0.440,-0.077,0.017,0.433,0.053,-0.133,0.020,
10,3.215,0,0.436,-0.081,0.016,0.429,0.117,-0.085,0.016,
11,3.285,0,0.435,-0.084,0.014,0.427,0.141,-0.081,0.009,
12,3.357,0,0.435,-0.085,0.013,0.427,0.127,-0.092,-0.003,
13,3.427,0,0.437,-0.085,0.012,0.428,0.080,-0.111,-0.009,
14,3.731,0,0.463,-0.087,0.000,0.455,-0.244,-0.246,-0.100,
15,3.879,0,0.461,-0.089,-0.001,0.452,-0.095,-0.158,-0.083,
16,3.949,0,0.458,-0.088,-0.001,0.450,-0.077,-0.172,-0.077,
17,4.022,0,0.460,-0.087,-0.003,0.452,-0.093,-0.135,-0.084,
18,4.099,0,0.460,-0.087,-0.002,0.451,-0.133,-0.160,-0.089,
19,4.173,0,0.461,-0.087,-0.002,0.453,-0.131,-0.159,-0.091,
20,4.258,0,0.462,-0.087,-0.002,0.453,-0.131,-0.155,-0.091,
21,4.335,0,0.461,-0.087,-0.002,0.453,-0.131,-0.172,-0.090,
22,4.411,0,0.461,-0.087,-0.002,0.453,-0.133,-0.161,-0.089,
23,4.485,0,0.462,-0.088,-0.002,0.453,-0.131,-0.162,-0.092,
24,4.616,0,0.462,-0.087,-0.003,0.453,-0.149,-0.158,-0.097,
25,4.697,0,0.462,-0.087,-0.003,0.454,-0.147,-0.159,-0.101,
26,4.776,0,0.462,-0.087,-0.003,0.453,-0.130,-0.166,-0.100,
27,4.861,0,0.461,-0.088,-0.003,0.452,-0.125,-0.170,-0.101,
28,4.937,0,0.462,-0.088,-0.003,0.454,-0.144,-0.168,-0.103,
